Location,Feature,Record count,Missing count,Missing percentage,Non-missing count,Coverage classification
GoldCoast,Evaporation,3040,3040,100.0,0,Complete absence
GoldCoast,Cloud9am,3040,3040,100.0,0,Complete absence
GoldCoast,Cloud3pm,3040,3040,100.0,0,Complete absence
GoldCoast,Pressure9am,3040,1,0.0329,3039,Good coverage
GoldCoast,Pressure3pm,3040,1,0.0329,3039,Good coverage
GoldCoast,WindDir9am,3040,65,2.1382,2975,Good coverage
GoldCoast,WindGustDir,3040,120,3.9474,2920,Good coverage
GoldCoast,WindGustSpeed,3040,120,3.9474,2920,Good coverage
Hobart,Sunshine,3193,14,0.4385,3179,Good coverage
Hobart,Evaporation,3193,7,0.2192,3186,Good coverage
Hobart,Cloud9am,3193,1163,36.4234,2030,Partial missingness
Hobart,Cloud3pm,3193,1168,36.58,2025,Partial missingness
Hobart,Pressure9am,3193,1,0.0313,3192,Good coverage
Hobart,Pressure3pm,3193,1,0.0313,3192,Good coverage
Hobart,WindDir9am,3193,41,1.2841,3152,Good coverage
Hobart,WindGustDir,3193,23,0.7203,3170,Good coverage
Hobart,WindGustSpeed,3193,23,0.7203,3170,Good coverage
Katherine,Sunshine,1578,1578,100.0,0,Complete absence
Katherine,Evaporation,1578,93,5.8935,1485,Partial missingness
Katherine,Cloud9am,1578,41,2.5982,1537,Good coverage
Katherine,Cloud3pm,1578,724,45.8809,854,Partial missingness
Katherine,Pressure9am,1578,1,0.0634,1577,Good coverage
Katherine,Pressure3pm,1578,5,0.3169,1573,Good coverage
Katherine,WindDir9am,1578,40,2.5349,1538,Good coverage
Katherine,WindGustDir,1578,29,1.8378,1549,Good coverage
Katherine,WindGustSpeed,1578,29,1.8378,1549,Good coverage
Launceston,Sunshine,3040,3040,100.0,0,Complete absence
Launceston,Evaporation,3040,2899,95.3618,141,Partial missingness
Launceston,Cloud9am,3040,2315,76.1513,725,Partial missingness
Launceston,Cloud3pm,3040,2298,75.5921,742,Partial missingness
Launceston,Pressure9am,3040,1153,37.9276,1887,Partial missingness
Launceston,Pressure3pm,3040,1153,37.9276,1887,Partial missingness
Launceston,WindDir9am,3040,460,15.1316,2580,Partial missingness
Launceston,WindGustDir,3040,34,1.1184,3006,Good coverage
Launceston,WindGustSpeed,3040,33,1.0855,3007,Good coverage
Melbourne,Sunshine,3193,1,0.0313,3192,Good coverage
Melbourne,Evaporation,3193,3,0.094,3190,Good coverage
Melbourne,Cloud9am,3193,1034,32.3833,2159,Partial missingness
Melbourne,Cloud3pm,3193,1106,34.6383,2087,Partial missingness
Melbourne,Pressure9am,3193,480,15.0329,2713,Partial missingness
Melbourne,Pressure3pm,3193,483,15.1268,2710,Partial missingness
Melbourne,WindDir9am,3193,50,1.5659,3143,Good coverage
Melbourne,WindGustDir,3193,14,0.4385,3179,Good coverage
Melbourne,WindGustSpeed,3193,14,0.4385,3179,Good coverage
MelbourneAirport,Sunshine,3009,1,0.0332,3008,Good coverage
MelbourneAirport,Evaporation,3009,3,0.0997,3006,Good coverage
MelbourneAirport,Cloud9am,3009,0,0.0,3009,Good coverage
MelbourneAirport,Cloud3pm,3009,1,0.0332,3008,Good coverage
MelbourneAirport,Pressure9am,3009,0,0.0,3009,Good coverage
MelbourneAirport,Pressure3pm,3009,0,0.0,3009,Good coverage
MelbourneAirport,WindDir9am,3009,40,1.3293,2969,Good coverage
MelbourneAirport,WindGustDir,3009,15,0.4985,2994,Good coverage
MelbourneAirport,WindGustSpeed,3009,15,0.4985,2994,Good coverage
Mildura,Sunshine,3009,133,4.4201,2876,Good coverage
Mildura,Evaporation,3009,117,3.8883,2892,Good coverage
Mildura,Cloud9am,3009,84,2.7916,2925,Good coverage
Mildura,Cloud3pm,3009,148,4.9186,2861,Good coverage
Mildura,Pressure9am,3009,4,0.1329,3005,Good coverage
Mildura,Pressure3pm,3009,2,0.0665,3007,Good coverage
Mildura,WindDir9am,3009,92,3.0575,2917,Good coverage
Mildura,WindGustDir,3009,5,0.1662,3004,Good coverage
Mildura,WindGustSpeed,3009,5,0.1662,3004,Good coverage
Moree,Sunshine,3009,954,31.7049,2055,Partial missingness
Moree,Evaporation,3009,717,23.8285,2292,Partial missingness
Moree,Cloud9am,3009,538,17.8797,2471,Partial missingness
Moree,Cloud3pm,3009,404,13.4264,2605,Partial missingness
Moree,Pressure9am,3009,0,0.0,3009,Good coverage
Moree,Pressure3pm,3009,1,0.0332,3008,Good coverage
Moree,WindDir9am,3009,108,3.5892,2901,Good coverage
Moree,WindGustDir,3009,78,2.5922,2931,Good coverage
Moree,WindGustSpeed,3009,77,2.559,2932,Good coverage
MountGambier,Sunshine,3040,443,14.5724,2597,Partial missingness
MountGambier,Evaporation,3040,410,13.4868,2630,Partial missingness
MountGambier,Cloud9am,3040,110,3.6184,2930,Good coverage
MountGambier,Cloud3pm,3040,110,3.6184,2930,Good coverage
MountGambier,Pressure9am,3040,2,0.0658,3038,Good coverage
MountGambier,Pressure3pm,3040,5,0.1645,3035,Good coverage
MountGambier,WindDir9am,3040,84,2.7632,2956,Good coverage
MountGambier,WindGustDir,3040,53,1.7434,2987,Good coverage
MountGambier,WindGustSpeed,3040,52,1.7105,2988,Good coverage
MountGinini,Sunshine,3040,3040,100.0,0,Complete absence
MountGinini,Evaporation,3040,3040,100.0,0,Complete absence
MountGinini,Cloud9am,3040,3040,100.0,0,Complete absence
MountGinini,Cloud3pm,3040,3040,100.0,0,Complete absence
MountGinini,Pressure9am,3040,3040,100.0,0,Complete absence
MountGinini,Pressure3pm,3040,3040,100.0,0,Complete absence
MountGinini,WindDir9am,3040,250,8.2237,2790,Partial missingness
MountGinini,WindGustDir,3040,319,10.4934,2721,Partial missingness
MountGinini,WindGustSpeed,3040,319,10.4934,2721,Partial missingness
Newcastle,Sunshine,3039,3039,100.0,0,Complete absence
Newcastle,Evaporation,3039,3039,100.0,0,Complete absence
Newcastle,Cloud9am,3039,241,7.9302,2798,Partial missingness
Newcastle,Cloud3pm,3039,933,30.7009,2106,Partial missingness
Newcastle,Pressure9am,3039,3039,100.0,0,Complete absence
Newcastle,Pressure3pm,3039,3039,100.0,0,Complete absence
Newcastle,WindDir9am,3039,1421,46.7588,1618,Partial missingness
Newcastle,WindGustDir,3039,3039,100.0,0,Complete absence
Newcastle,WindGustSpeed,3039,3039,100.0,0,Complete absence
Nhil,Sunshine,1578,1578,100.0,0,Complete absence
Nhil,Evaporation,1578,1578,100.0,0,Complete absence
Nhil,Cloud9am,1578,1578,100.0,0,Complete absence
Nhil,Cloud3pm,1578,1578,100.0,0,Complete absence
Nhil,Pressure9am,1578,5,0.3169,1573,Good coverage
Nhil,Pressure3pm,1578,5,0.3169,1573,Good coverage
Nhil,WindDir9am,1578,50,3.1686,1528,Good coverage
Nhil,WindGustDir,1578,11,0.6971,1567,Good coverage
Nhil,WindGustSpeed,1578,11,0.6971,1567,Good coverage
NorahHead,Sunshine,3004,3004,100.0,0,Complete absence
NorahHead,Evaporation,3004,3004,100.0,0,Complete absence
NorahHead,Cloud9am,3004,3004,100.0,0,Complete absence
NorahHead,Cloud3pm,3004,3004,100.0,0,Complete absence
NorahHead,Pressure9am,3004,34,1.1318,2970,Good coverage
NorahHead,Pressure3pm,3004,26,0.8655,2978,Good coverage
NorahHead,WindDir9am,3004,107,3.5619,2897,Good coverage
NorahHead,WindGustDir,3004,54,1.7976,2950,Good coverage
NorahHead,WindGustSpeed,3004,54,1.7976,2950,Good coverage
NorfolkIsland,Sunshine,3009,439,14.5896,2570,Partial missingness
NorfolkIsland,Evaporation,3009,234,7.7767,2775,Partial missingness
NorfolkIsland,Cloud9am,3009,66,2.1934,2943,Good coverage
NorfolkIsland,Cloud3pm,3009,61,2.0273,2948,Good coverage
NorfolkIsland,Pressure9am,3009,8,0.2659,3001,Good coverage
NorfolkIsland,Pressure3pm,3009,2,0.0665,3007,Good coverage
NorfolkIsland,WindDir9am,3009,31,1.0302,2978,Good coverage
NorfolkIsland,WindGustDir,3009,45,1.4955,2964,Good coverage
NorfolkIsland,WindGustSpeed,3009,44,1.4623,2965,Good coverage
Nuriootpa,Sunshine,3009,161,5.3506,2848,Partial missingness
Nuriootpa,Evaporation,3009,122,4.0545,2887,Good coverage
Nuriootpa,Cloud9am,3009,127,4.2207,2882,Good coverage
Nuriootpa,Cloud3pm,3009,769,25.5567,2240,Partial missingness
Nuriootpa,Pressure9am,3009,7,0.2326,3002,Good coverage
Nuriootpa,Pressure3pm,3009,8,0.2659,3001,Good coverage
Nuriootpa,WindDir9am,3009,144,4.7856,2865,Good coverage
Nuriootpa,WindGustDir,3009,49,1.6284,2960,Good coverage
Nuriootpa,WindGustSpeed,3009,34,1.1299,2975,Good coverage
PearceRAAF,Sunshine,3009,5,0.1662,3004,Good coverage
PearceRAAF,Evaporation,3009,3009,100.0,0,Complete absence
PearceRAAF,Cloud9am,3009,1043,34.6627,1966,Partial missingness
PearceRAAF,Cloud3pm,3009,1128,37.4875,1881,Partial missingness
PearceRAAF,Pressure9am,3009,21,0.6979,2988,Good coverage
PearceRAAF,Pressure3pm,3009,28,0.9305,2981,Good coverage
PearceRAAF,WindDir9am,3009,91,3.0243,2918,Good coverage
PearceRAAF,WindGustDir,3009,145,4.8189,2864,Good coverage
PearceRAAF,WindGustSpeed,3009,145,4.8189,2864,Good coverage
Penrith,Sunshine,3039,3039,100.0,0,Complete absence
Penrith,Evaporation,3039,3039,100.0,0,Complete absence
Penrith,Cloud9am,3039,3039,100.0,0,Complete absence
Penrith,Cloud3pm,3039,3039,100.0,0,Complete absence
Penrith,Pressure9am,3039,3039,100.0,0,Complete absence
Penrith,Pressure3pm,3039,3039,100.0,0,Complete absence
Penrith,WindDir9am,3039,559,18.3942,2480,Partial missingness
Penrith,WindGustDir,3039,65,2.1389,2974,Good coverage
Penrith,WindGustSpeed,3039,65,2.1389,2974,Good coverage
Perth,Sunshine,3193,5,0.1566,3188,Good coverage
Perth,Evaporation,3193,1,0.0313,3192,Good coverage
Perth,Cloud9am,3193,2,0.0626,3191,Good coverage
Perth,Cloud3pm,3193,4,0.1253,3189,Good coverage
Perth,Pressure9am,3193,1,0.0313,3192,Good coverage
Perth,Pressure3pm,3193,1,0.0313,3192,Good coverage
Perth,WindDir9am,3193,134,4.1967,3059,Good coverage
Perth,WindGustDir,3193,5,0.1566,3188,Good coverage
Perth,WindGustSpeed,3193,5,0.1566,3188,Good coverage
PerthAirport,Sunshine,3009,5,0.1662,3004,Good coverage
PerthAirport,Evaporation,3009,1,0.0332,3008,Good coverage
PerthAirport,Cloud9am,3009,2,0.0665,3007,Good coverage
PerthAirport,Cloud3pm,3009,4,0.1329,3005,Good coverage
PerthAirport,Pressure9am,3009,2,0.0665,3007,Good coverage
PerthAirport,Pressure3pm,3009,1,0.0332,3008,Good coverage
PerthAirport,WindDir9am,3009,40,1.3293,2969,Good coverage
PerthAirport,WindGustDir,3009,46,1.5287,2963,Good coverage
PerthAirport,WindGustSpeed,3009,46,1.5287,2963,Good coverage
Portland,Sunshine,3009,443,14.7225,2566,Partial missingness
Portland,Evaporation,3009,409,13.5926,2600,Partial missingness
Portland,Cloud9am,3009,412,13.6923,2597,Partial missingness
Portland,Cloud3pm,3009,519,17.2483,2490,Partial missingness
Portland,Pressure9am,3009,12,0.3988,2997,Good coverage
Portland,Pressure3pm,3009,10,0.3323,2999,Good coverage
Portland,WindDir9am,3009,70,2.3264,2939,Good coverage
Portland,WindGustDir,3009,35,1.1632,2974,Good coverage
Portland,WindGustSpeed,3009,35,1.1632,2974,Good coverage
Richmond,Sunshine,3009,3009,100.0,0,Complete absence
Richmond,Evaporation,3009,1385,46.0286,1624,Partial missingness
Richmond,Cloud9am,3009,2404,79.8937,605,Partial missingness
Richmond,Cloud3pm,3009,2427,80.658,582,Partial missingness
Richmond,Pressure9am,3009,29,0.9638,2980,Good coverage
Richmond,Pressure3pm,3009,35,1.1632,2974,Good coverage
Richmond,WindDir9am,3009,853,28.3483,2156,Partial missingness
Richmond,WindGustDir,3009,57,1.8943,2952,Good coverage
Richmond,WindGustSpeed,3009,55,1.8278,2954,Good coverage
Sale,Sunshine,3009,1191,39.5813,1818,Partial missingness
Sale,Evaporation,3009,1175,39.0495,1834,Partial missingness
Sale,Cloud9am,3009,358,11.8976,2651,Partial missingness
Sale,Cloud3pm,3009,392,13.0276,2617,Partial missingness
Sale,Pressure9am,3009,14,0.4653,2995,Good coverage
Sale,Pressure3pm,3009,15,0.4985,2994,Good coverage
Sale,WindDir9am,3009,82,2.7252,2927,Good coverage
Sale,WindGustDir,3009,141,4.6859,2868,Good coverage
Sale,WindGustSpeed,3009,141,4.6859,2868,Good coverage
SalmonGums,Sunshine,3001,3001,100.0,0,Complete absence
SalmonGums,Evaporation,3001,3001,100.0,0,Complete absence
SalmonGums,Cloud9am,3001,3001,100.0,0,Complete absence
SalmonGums,Cloud3pm,3001,3001,100.0,0,Complete absence
SalmonGums,Pressure9am,3001,3001,100.0,0,Complete absence
SalmonGums,Pressure3pm,3001,3001,100.0,0,Complete absence
SalmonGums,WindDir9am,3001,99,3.2989,2902,Good coverage
SalmonGums,WindGustDir,3001,84,2.7991,2917,Good coverage
SalmonGums,WindGustSpeed,3001,84,2.7991,2917,Good coverage
Sydney,Sunshine,3344,16,0.4785,3328,Good coverage
Sydney,Evaporation,3344,51,1.5251,3293,Good coverage
Sydney,Cloud9am,3344,568,16.9856,2776,Partial missingness
Sydney,Cloud3pm,3344,563,16.8361,2781,Partial missingness
Sydney,Pressure9am,3344,21,0.628,3323,Good coverage
Sydney,Pressure3pm,3344,19,0.5682,3325,Good coverage
Sydney,WindDir9am,3344,56,1.6746,3288,Good coverage
Sydney,WindGustDir,3344,1038,31.0407,2306,Partial missingness
Sydney,WindGustSpeed,3344,1038,31.0407,2306,Partial missingness
SydneyAirport,Sunshine,3009,16,0.5317,2993,Good coverage
SydneyAirport,Evaporation,3009,46,1.5287,2963,Good coverage
SydneyAirport,Cloud9am,3009,4,0.1329,3005,Good coverage
SydneyAirport,Cloud3pm,3009,0,0.0,3009,Good coverage
SydneyAirport,Pressure9am,3009,8,0.2659,3001,Good coverage
SydneyAirport,Pressure3pm,3009,3,0.0997,3006,Good coverage
SydneyAirport,WindDir9am,3009,8,0.2659,3001,Good coverage
SydneyAirport,WindGustDir,3009,51,1.6949,2958,Good coverage
SydneyAirport,WindGustSpeed,3009,51,1.6949,2958,Good coverage
Townsville,Sunshine,3040,423,13.9145,2617,Partial missingness
Townsville,Evaporation,3040,91,2.9934,2949,Good coverage
Townsville,Cloud9am,3040,174,5.7237,2866,Partial missingness
Townsville,Cloud3pm,3040,277,9.1118,2763,Partial missingness
Townsville,Pressure9am,3040,0,0.0,3040,Good coverage
Townsville,Pressure3pm,3040,0,0.0,3040,Good coverage
Townsville,WindDir9am,3040,123,4.0461,2917,Good coverage
Townsville,WindGustDir,3040,23,0.7566,3017,Good coverage
Townsville,WindGustSpeed,3040,23,0.7566,3017,Good coverage
Tuggeranong,Sunshine,3039,3039,100.0,0,Complete absence
Tuggeranong,Evaporation,3039,3039,100.0,0,Complete absence
Tuggeranong,Cloud9am,3039,3039,100.0,0,Complete absence
Tuggeranong,Cloud3pm,3039,3039,100.0,0,Complete absence
Tuggeranong,Pressure9am,3039,15,0.4936,3024,Good coverage
Tuggeranong,Pressure3pm,3039,11,0.362,3028,Good coverage
Tuggeranong,WindDir9am,3039,645,21.2241,2394,Partial missingness
Tuggeranong,WindGustDir,3039,42,1.382,2997,Good coverage
Tuggeranong,WindGustSpeed,3039,42,1.382,2997,Good coverage
Uluru,Sunshine,1578,1578,100.0,0,Complete absence
Uluru,Evaporation,1578,1578,100.0,0,Complete absence
Uluru,Cloud9am,1578,1230,77.9468,348,Partial missingness
Uluru,Cloud3pm,1578,1161,73.5741,417,Partial missingness
Uluru,Pressure9am,1578,10,0.6337,1568,Good coverage
Uluru,Pressure3pm,1578,4,0.2535,1574,Good coverage
Uluru,WindDir9am,1578,66,4.1825,1512,Good coverage
Uluru,WindGustDir,1578,54,3.4221,1524,Good coverage
Uluru,WindGustSpeed,1578,54,3.4221,1524,Good coverage
WaggaWagga,Sunshine,3009,434,14.4234,2575,Partial missingness
WaggaWagga,Evaporation,3009,138,4.5862,2871,Good coverage
WaggaWagga,Cloud9am,3009,223,7.4111,2786,Partial missingness
WaggaWagga,Cloud3pm,3009,173,5.7494,2836,Partial missingness
WaggaWagga,Pressure9am,3009,0,0.0,3009,Good coverage
WaggaWagga,Pressure3pm,3009,0,0.0,3009,Good coverage
WaggaWagga,WindDir9am,3009,119,3.9548,2890,Good coverage
WaggaWagga,WindGustDir,3009,28,0.9305,2981,Good coverage
WaggaWagga,WindGustSpeed,3009,28,0.9305,2981,Good coverage
Walpole,Sunshine,3006,3006,100.0,0,Complete absence
Walpole,Evaporation,3006,3006,100.0,0,Complete absence
Walpole,Cloud9am,3006,3006,100.0,0,Complete absence
Walpole,Cloud3pm,3006,3006,100.0,0,Complete absence
Walpole,Pressure9am,3006,28,0.9315,2978,Good coverage
Walpole,Pressure3pm,3006,26,0.8649,2980,Good coverage
Walpole,WindDir9am,3006,286,9.5143,2720,Partial missingness
Walpole,WindGustDir,3006,118,3.9255,2888,Good coverage
Walpole,WindGustSpeed,3006,86,2.8609,2920,Good coverage
Watsonia,Sunshine,3009,1,0.0332,3008,Good coverage
Watsonia,Evaporation,3009,3,0.0997,3006,Good coverage
Watsonia,Cloud9am,3009,0,0.0,3009,Good coverage
Watsonia,Cloud3pm,3009,1,0.0332,3008,Good coverage
Watsonia,Pressure9am,3009,2,0.0665,3007,Good coverage
Watsonia,Pressure3pm,3009,0,0.0,3009,Good coverage
Watsonia,WindDir9am,3009,191,6.3476,2818,Partial missingness
Watsonia,WindGustDir,3009,37,1.2296,2972,Good coverage
Watsonia,WindGustSpeed,3009,37,1.2296,2972,Good coverage
Williamtown,Sunshine,3009,1654,54.9684,1355,Partial missingness
Williamtown,Evaporation,3009,1063,35.3274,1946,Partial missingness
Williamtown,Cloud9am,3009,602,20.0066,2407,Partial missingness
Williamtown,Cloud3pm,3009,649,21.5686,2360,Partial missingness
Williamtown,Pressure9am,3009,12,0.3988,2997,Good coverage
Williamtown,Pressure3pm,3009,11,0.3656,2998,Good coverage
Williamtown,WindDir9am,3009,87,2.8913,2922,Good coverage
Williamtown,WindGustDir,3009,136,4.5198,2873,Good coverage
Williamtown,WindGustSpeed,3009,135,4.4865,2874,Good coverage
Witchcliffe,Sunshine,3009,3009,100.0,0,Complete absence
Witchcliffe,Evaporation,3009,3009,100.0,0,Complete absence
Witchcliffe,Cloud9am,3009,3009,100.0,0,Complete absence
Witchcliffe,Cloud3pm,3009,3009,100.0,0,Complete absence
Witchcliffe,Pressure9am,3009,134,4.4533,2875,Good coverage
Witchcliffe,Pressure3pm,3009,134,4.4533,2875,Good coverage
Witchcliffe,WindDir9am,3009,250,8.3084,2759,Partial missingness
Witchcliffe,WindGustDir,3009,34,1.1299,2975,Good coverage
Witchcliffe,WindGustSpeed,3009,33,1.0967,2976,Good coverage
Wollongong,Sunshine,3040,3040,100.0,0,Complete absence
Wollongong,Evaporation,3040,3040,100.0,0,Complete absence
Wollongong,Cloud9am,3040,1695,55.7566,1345,Partial missingness
Wollongong,Cloud3pm,3040,1623,53.3882,1417,Partial missingness
Wollongong,Pressure9am,3040,50,1.6447,2990,Good coverage
Wollongong,Pressure3pm,3040,19,0.625,3021,Good coverage
Wollongong,WindDir9am,3040,125,4.1118,2915,Good coverage
